0xe0073e1f,j_ExMem.View_FW
0xe0073e23,ExMem_FW
0xe007403d,ExMem.View_FW
0xe007538d,task_EFChargeT
0xe00756ef,EF.IsChargeFull_FW
0xe00756ef,IsStrobeChargeCompleted
0xe0075e15,TurnOffE1_FW
0xe0075ed1,task_Bye
0xe0077f31,task_OpePlay
0xe0078065,OpLog.Stop_FW
0xe007807b,OpLog.WriteToROM_FW
0xe007809b,j_OpLog.WriteToROM_FW
0xe00780bd,OpLog.ReadFromROM_FW
0xe00780ff,OpLog.ReadFromSD_FW
0xe007830f,OpLog.WriteToSD_FW
0xe00787c7,OpLog.Get_FW
0xe00787dd,OpLog.GetUsrSet_FW
0xe007885b,OpLog.Play_FW
0xe007894d,OpLog.Start_FW
0xe00789db,OpLog.Terminate_FW
0xe0079efd,kbd_p2_f
0xe007a1a9,task_PhySw
0xe007a3f3,GetSwStatusOfSET_FW
0xe007a40b,GetSwitchStatus_FW
0xe007a463,GetSDDetect_FW
0xe007a469,GetSDProtect_FW
0xe007a47b,GetDialEventId_FW
0xe007a47f,GetLcdPosition_FW
0xe007a483,GetBatteryCoverClose_FW
0xe007a489,IsHvSensorExist_FW
0xe007a48d,GetPopupOpen_FW
0xe007a49d,kbd_read_keys
0xe007a4d3,kbd_p1_f
0xe007a4db,kbd_p1_f_cont
0xe007b669,fw_yuv_layer_buf_helper
0xe00833cd,UIFS_ExtEvfCnctErr_FW
0xe00833e7,UIFS_ExtEvfDrvInitErr_FW
0xe0086a9d,GUISrv_StartGUISystem_FW
0xe0086bdb,GraphicSystemCoreFinish_helper
0xe00870cd,GraphicSystemCoreFinish
0xe0088cdb,UnlockMainPower
0xe0088cdb,UnlockMainPower_FW
0xe0088d49,LockMainPower
0xe0088d49,LockMainPower_FW
0xe0088d99,SetAutoShutdownTime
0xe0088d99,SetAutoShutdownTime_FW
0xe00baefb,zicokick_start
0xe00baf93,zicokick_copy
0xe00bb819,init_error_handlers
0xe00be665,LCDMsg_SetDrawMode_FW
0xe00be6c3,LCDMsg_SetStr_FW
0xe00be77d,LCDMsg_SetNum_FW
0xe00be7ff,LCDMsg_SwDisp_FW
0xe00be847,LCDMsg_Move_FW
0xe00be8d3,LCDMsg_MoveRatio_FW
0xe00be919,LCDMsg_ChangeColor_FW
0xe00be99b,LCDMsg_Delete_FW
0xe00bea65,LCDMsg_Create_FW
0xe00beb31,LCDRect_Move_FW
0xe00beb99,LCDRect_MoveRatio_FW
0xe00bec49,LCDRect_Resize_FW
0xe00becb1,LCDRect_ResizeRatio_FW
0xe00bed7f,LCDRect_ChangeColor_FW
0xe00bee23,LCDRect_SwDisp_FW
0xe00bef61,LCDRect_Create_FW
0xe00beffd,LCDRect_Delete_FW
0xe00bf91d,task_ExEVFDriver
0xe00bf9b3,InitializeExEVFDriver_FW
0xe00bfa51,TerminateExEVFDriver_FW
0xe00bfa7d,ExEVFDriverControl_FW
0xe00bfaf5,ExEVFDrvSetBLLevel_FW
0xe00bfb9d,GetEvfFirmVersion_FW
0xe00bfbad,GetExEVFSwStatus_FW
0xe00bfbb9,GetExEVFDeviceId_FW
0xe00bfbd7,ExEVFDrvReadData_FW
0xe00bfc37,ExEVFDrvWriteData_FW
0xe00bfc8b,EvfFunctionCmd_FW
0xe00bfd47,ExEVFDrvStopPoling_FW
0xe00bfd4f,ExEVFDrvStartPoling_FW
0xe00c25e5,HdmiViewParameter_FW
0xe00c4531,task_ImagePlaySysConTask
0xe00ca787,LcdCon_SetLcdBackLightBrightness_FW
0xe00ca78b,LcdCon_SetLcdBackLightParameter_FW
0xe00ca7c1,LcdCon_GetLcdBackLightParameter_FW
0xe00ca7eb,LcdCon_ShowLcdBackLightParameter_FW
0xe00ca80f,LcdCon_SaveLcdBackLightParameter_FW
0xe00ca997,LcdCon_SetLcdDriver_FW
0xe00ca9c5,LcdCon_SetLcdAdjParameter_FW
0xe00caa31,LcdCon_GetLcdAdjParameter_FW
0xe00caa63,LcdCon_ShowLcdAdjParameter_FW
0xe00caa89,LcdCon_SaveLcdAdjParameter_FW
0xe00caa9d,LcdCon_SetLcdParameter_FW
0xe00cab5b,LcdCon_GetLcdParameter_FW
0xe00cab8d,LcdCon_ShowLcdParameter_FW
0xe00cabb3,LcdCon_SaveLcdParameter_FW
0xe00cb739,TurnOnDisplay
0xe00cb747,j_TurnOffDisplay
0xe00cc355,task_ImageRetryConTask
0xe00d5d95,ImgPly.Create_FW
